OBJECT temple
FRAMES
	0	0 
	1	1
	2	1 
	3	2 
	4	2 
	5	3 
	6	3 
	7	4 
	8	4 
	9	5 
	10	5 	
	11	6 
	12	6 
	13	7 
	14	7 
	15	8 
	16	8 
	17	9 
	18	9 
	19 	9
	20 	9
	21	9
	22	9
	23	9
	24	9
	25	9
	26	9
	27	9
	28	9
	29	9
	30	9
	31	9
	32	9
	33	8
	34	8 
	35	7 
	36	7 
	37	6 
	38	6 
	39	5 
	40	4 
	41	3 
	42	2 
	43	1 
	44	1 
	45	0 
	END

STATE initial
	EVENT templeup(templebegin, -)
	BEGIN
	0
	END

STATE templebegin
	BEGIN
	0
	0
	1
	1
	2
	2
	3
	3
	4
	4
	5
	5
	6
	6
	7
	7
	8
	8
	9
	9
	10
	10
	11
	11
	12
	12
	13
	13
	14
	14
	15
	15
	16
	16
	17
	17
	18
	18
	19
	19
	20
	20
	21
	21
	22
	22
	23
	23
	24
	24
	25
	25
	26
	26
	27
	27
	28
	28
	29
	29
	30
	30
	31
	32
	33
	34
	35
	36
	37
	38
	39
	40
	41
	42
	43
	44
	45
	END
ENDOBJECT

